feature,gene_symbol,element_subtype,drug_class,drug_subclass,known_mechanism
AMR:aac(3)-IId,aac(3)-IId,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-IIe,aac(3)-IIe,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-IIg,aac(3)-IIg,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-IVa,aac(3)-IVa,AMR,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN,True
AMR:aac(3)-Ia,aac(3)-Ia,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-Ib,aac(3)-Ib,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(3)-VIa,aac(3)-VIa,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(6')-33,aac(6')-33,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,True
AMR:aac(6')-F309,aac(6')-F309,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-IIa,aac(6')-IIa,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-IIc,aac(6')-IIc,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ia,aac(6')-Ia,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,True
AMR:aac(6')-Ian,aac(6')-Ian,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ib,aac(6')-Ib,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ib',aac(6')-Ib',AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(6')-Ib-cr,aac(6')-Ib-cr,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,True
AMR:aac(6')-Ib-cr5,aac(6')-Ib-cr5,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,True
AMR:aac(6')-Ib3,aac(6')-Ib3,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aac(6')-Ib4,aac(6')-Ib4,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:aac(6')-Il,aac(6')-Il,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,True
AMR:aacA16,aacA16,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,True
AMR:aadA1,aadA1,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA13,aadA13,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA16,aadA16,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA2,aadA2,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA22,aadA22,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA3,aadA3,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA4,aadA4,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA5,aadA5,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aadA8,aadA8,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:abaF,abaF,AMR,FOSFOMYCIN,FOSFOMYCIN,True
AMR:acrF,acrF,AMR,EFFLUX,EFFLUX,True
AMR:adeC,adeC,AMR,EFFLUX,EFFLUX,True
AMR:amvA,amvA,AMR,EFFLUX,EFFLUX,True
AMR:ant(2'')-Ia,ant(2'')-Ia,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,True
AMR:ant(3'')-IIa,ant(3'')-IIa,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,True
AMR:ant(9)-Ia,ant(9)-Ia,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN,True
AMR:aph(3'')-Ib,aph(3'')-Ib,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aph(3')-Ia,aph(3')-Ia,AMR,AMINOGLYCOSIDE,KANAMYCIN,True
AMR:aph(3')-Ib,aph(3')-Ib,AMR,AMINOGLYCOSIDE,KANAMYCIN,True
AMR:aph(3')-VI,aph(3')-VI,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(3')-VIa,aph(3')-VIa,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(3')-VIb,aph(3')-VIb,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(3')-XV,aph(3')-XV,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:aph(4)-Ia,aph(4)-Ia,AMR,AMINOGLYCOSIDE,HYGROMYCIN,True
AMR:aph(6)-Id,aph(6)-Id,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,True
AMR:aphA16,aphA16,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,True
AMR:armA,armA,AMR,AMINOGLYCOSIDE,GENTAMICIN,True
AMR:arr,arr,AMR,RIFAMYCIN,RIFAMYCIN,True
AMR:arr-2,arr-2,AMR,RIFAMYCIN,RIFAMYCIN,True
AMR:arr-3,arr-3,AMR,RIFAMYCIN,RIFAMYCIN,True
AMR:blaACC-1,blaACC-1,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaACT-35,blaACT-35,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaADC-214,blaADC-214,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaADC-56,blaADC-56,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaADC-76,blaADC-76,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCARB-2,blaCARB-2,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaCMY-16,blaCMY-16,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCMY-2,blaCMY-2,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCMY-4,blaCMY-4,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCMY-6,blaCMY-6,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCMY-94,blaCMY-94,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M,blaCTX-M,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-1,blaCTX-M-1,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-104,blaCTX-M-104,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-14,blaCTX-M-14,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-15,blaCTX-M-15,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-2,blaCTX-M-2,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-24,blaCTX-M-24,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-27,blaCTX-M-27,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-3,blaCTX-M-3,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-40,blaCTX-M-40,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-55,blaCTX-M-55,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-62,blaCTX-M-62,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-63,blaCTX-M-63,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-65,blaCTX-M-65,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaCTX-M-98,blaCTX-M-98,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaDHA-1,blaDHA-1,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaDHA-15,blaDHA-15,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaDHA-6,blaDHA-6,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaDHA-7,blaDHA-7,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaEC,blaEC,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaFOX-5,blaFOX-5,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaGES-19,blaGES-19,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaGES-20,blaGES-20,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaGES-26,blaGES-26,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaGES-5,blaGES-5,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaIMP-4,blaIMP-4,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaKPC,blaKPC,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaKPC-166,blaKPC-166,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaKPC-2,blaKPC-2,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaKPC-3,blaKPC-3,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaKPC-4,blaKPC-4,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaKPC-8,blaKPC-8,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaLAP,blaLAP,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLAP-1,blaLAP-1,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLAP-2,blaLAP-2,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN,blaLEN,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-120,blaLEN-120,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-126,blaLEN-126,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-13,blaLEN-13,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-16,blaLEN-16,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-17,blaLEN-17,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-175,blaLEN-175,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-18,blaLEN-18,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-181,blaLEN-181,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-19,blaLEN-19,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-2,blaLEN-2,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-25,blaLEN-25,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-26,blaLEN-26,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-27,blaLEN-27,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-30,blaLEN-30,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-61,blaLEN-61,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-7,blaLEN-7,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-77,blaLEN-77,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaLEN-9,blaLEN-9,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaNDM,blaNDM,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaNDM-1,blaNDM-1,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaNDM-19,blaNDM-19,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaNDM-4,blaNDM-4,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaNDM-5,blaNDM-5,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaNDM-7,blaNDM-7,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOKP-A-11,blaOKP-A-11,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-117,blaOKP-A-117,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-21,blaOKP-A-21,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-27,blaOKP-A-27,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-3,blaOKP-A-3,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-5,blaOKP-A-5,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-61,blaOKP-A-61,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-7,blaOKP-A-7,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-77,blaOKP-A-77,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-8,blaOKP-A-8,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-A-82,blaOKP-A-82,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B,blaOKP-B,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-1,blaOKP-B-1,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-159,blaOKP-B-159,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-17,blaOKP-B-17,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-176,blaOKP-B-176,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-19,blaOKP-B-19,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-192,blaOKP-B-192,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-2,blaOKP-B-2,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-21,blaOKP-B-21,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-23,blaOKP-B-23,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-3,blaOKP-B-3,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-41,blaOKP-B-41,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-5,blaOKP-B-5,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-6,blaOKP-B-6,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-60,blaOKP-B-60,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-7,blaOKP-B-7,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-79,blaOKP-B-79,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-8,blaOKP-B-8,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOKP-B-86,blaOKP-B-86,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOXA,blaOXA,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOXA-1,blaOXA-1,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaOXA-10,blaOXA-10,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaOXA-1391,blaOXA-1391,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOXA-163,blaOXA-163,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaOXA-181,blaOXA-181,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-2,blaOXA-2,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOXA-23,blaOXA-23,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-232,blaOXA-232,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-24,blaOXA-24,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-244,blaOXA-244,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-245,blaOXA-245,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-276,blaOXA-276,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-48,blaOXA-48,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-65,blaOXA-65,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-68,blaOXA-68,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-83,blaOXA-83,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaOXA-9,blaOXA-9,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaOXY-2-11,blaOXY-2-11,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaPER-7,blaPER-7,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaPLA-4,blaPLA-4,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSCO-1,blaSCO-1,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSFO-1,blaSFO-1,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV,blaSHV,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-1,blaSHV-1,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-100,blaSHV-100,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-103,blaSHV-103,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-108,blaSHV-108,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-11,blaSHV-11,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-110,blaSHV-110,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-111,blaSHV-111,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-116,blaSHV-116,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-119,blaSHV-119,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-12,blaSHV-12,AMR,BETA-LACTAM,CEFIDEROCOL/CEPHALOSPORIN,True
AMR:blaSHV-120,blaSHV-120,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-121,blaSHV-121,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-14,blaSHV-14,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-142,blaSHV-142,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-144,blaSHV-144,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-146,blaSHV-146,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-157,blaSHV-157,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-161,blaSHV-161,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-164,blaSHV-164,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-168,blaSHV-168,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-171,blaSHV-171,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-187,blaSHV-187,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-198,blaSHV-198,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-2,blaSHV-2,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-200,blaSHV-200,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-202,blaSHV-202,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-204,blaSHV-204,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-205,blaSHV-205,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-215,blaSHV-215,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-217,blaSHV-217,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-220,blaSHV-220,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-224,blaSHV-224,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-24,blaSHV-24,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-25,blaSHV-25,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-253,blaSHV-253,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-26,blaSHV-26,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-27,blaSHV-27,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-28,blaSHV-28,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-2A,blaSHV-2A,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-30,blaSHV-30,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-31,blaSHV-31,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-32,blaSHV-32,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-33,blaSHV-33,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-36,blaSHV-36,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-37,blaSHV-37,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-40,blaSHV-40,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-41,blaSHV-41,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-42,blaSHV-42,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-49,blaSHV-49,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-5,blaSHV-5,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-52,blaSHV-52,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-60,blaSHV-60,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-61,blaSHV-61,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-62,blaSHV-62,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-63,blaSHV-63,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-65,blaSHV-65,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-69,blaSHV-69,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-7,blaSHV-7,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaSHV-71,blaSHV-71,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-75,blaSHV-75,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-76,blaSHV-76,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-77,blaSHV-77,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-80,blaSHV-80,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaSHV-89,blaSHV-89,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaTEM,blaTEM,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaTEM-1,blaTEM-1,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaTEM-169,blaTEM-169,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaTEM-19,blaTEM-19,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaTEM-190,blaTEM-190,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaTEM-256,blaTEM-256,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaTEM-3,blaTEM-3,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaTEM-33,blaTEM-33,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaTEM-34,blaTEM-34,AMR,BETA-LACTAM,BETA-LACTAM,True
AMR:blaTEM-63,blaTEM-63,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaVEB-1,blaVEB-1,AMR,BETA-LACTAM,CEPHALOSPORIN,True
AMR:blaVIM-1,blaVIM-1,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaVIM-19,blaVIM-19,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaVIM-27,blaVIM-27,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:blaVIM-33,blaVIM-33,AMR,BETA-LACTAM,CARBAPENEM,True
AMR:ble,ble,AMR,BLEOMYCIN,BLEOMYCIN,True
AMR:bleO,bleO,AMR,BLEOMYCIN,BLEOMYCIN,True
AMR:catA1,catA1,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:catA2,catA2,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:catB,catB,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:catB11,catB11,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:catB2,catB2,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:catB3,catB3,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:catB8,catB8,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:cfr,cfr,AMR,LINCOSAMIDE/OXAZOLIDINONE/PHENICOL/PLEUROMUTILIN/STREPTOGRAMIN,CHLORAMPHENICOL/CLINDAMYCIN/FLORFENICOL/LINEZOLID/STREPTOGRAMIN B/TIAMULIN/VIRGINIAMYCIN,True
AMR:cmlA,cmlA,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:cmlA1,cmlA1,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:cmlA4,cmlA4,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:cmlA5,cmlA5,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:cxpE,cxpE,AMR,PHENICOL,CHLORAMPHENICOL,True
AMR:dfrA1,dfrA1,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA10,dfrA10,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA12,dfrA12,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA14,dfrA14,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA15,dfrA15,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA16,dfrA16,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA17,dfrA17,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA18,dfrA18,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA19,dfrA19,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA21,dfrA21,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA22,dfrA22,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA23,dfrA23,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA25,dfrA25,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA26,dfrA26,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA27,dfrA27,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA30,dfrA30,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA33,dfrA33,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
AMR:dfrA35,dfrA35,AMR,TRIMETHOPRIM,TRIMETHOPRIM,True
